Distancia_medicao;Lado;Remocao_anterior;Idade_pavimento_meses;Temperatura_ensaio;Umidade_AISWEB;Operacoes_medicoes;Operacoes_anual;Operacoes_remocoes;Atrito
200;0;0;84;32;51.88;11132;29247;36849;0.57
300;0;0;84;32;51.88;11132;29247;36849;0.56
400;0;0;84;32;51.88;11132;29247;36849;0.62
500;0;0;84;32;51.88;11132;29247;36849;0.64
600;0;0;84;32;51.88;11132;29247;36849;0.62
700;0;0;84;32;51.88;11132;29247;36849;0.71
800;0;0;84;32;51.88;11132;29247;36849;0.77
900;0;0;84;32;51.88;11132;29247;36849;0.76
1000;0;0;84;32;51.88;11132;29247;36849;0.78
1100;0;0;84;32;51.88;11132;29247;36849;0.69
1200;0;0;84;32;51.88;11132;29247;36849;0.73
1300;0;0;84;32;51.88;11132;29247;36849;0.72
1400;0;0;84;32;51.88;11132;29247;36849;0.7
1500;0;0;84;32;51.88;11132;29247;36849;0.69
1600;0;0;84;32;51.88;11132;29247;36849;0.69
1700;0;0;84;32;51.88;11132;29247;36849;0.78
1800;0;0;84;32;51.88;11132;29247;36849;0.76
1900;0;0;84;32;51.88;11132;29247;36849;0.7
2000;0;0;84;32;51.88;11132;29247;36849;0.66
2100;0;0;84;32;51.88;11132;29247;36849;0.81
2200;0;0;84;32;51.88;11132;29247;36849;0.83
2300;0;0;84;32;51.88;11132;29247;36849;0.85
2400;0;0;84;32;51.88;11132;29247;36849;0.84
2500;0;0;84;32;51.88;11132;29247;36849;0.77
200;1;0;84;32;51.88;11132;29247;36849;0.65
300;1;0;84;32;51.88;11132;29247;36849;0.6
400;1;0;84;32;51.88;11132;29247;36849;0.63
500;1;0;84;32;51.88;11132;29247;36849;0.58
600;1;0;84;32;51.88;11132;29247;36849;0.55
700;1;0;84;32;51.88;11132;29247;36849;0.64
800;1;0;84;32;51.88;11132;29247;36849;0.73
900;1;0;84;32;51.88;11132;29247;36849;0.74
1000;1;0;84;32;51.88;11132;29247;36849;0.77
1100;1;0;84;32;51.88;11132;29247;36849;0.71
1200;1;0;84;32;51.88;11132;29247;36849;0.74
1300;1;0;84;32;51.88;11132;29247;36849;0.73
1400;1;0;84;32;51.88;11132;29247;36849;0.76
1500;1;0;84;32;51.88;11132;29247;36849;0.71
1600;1;0;84;32;51.88;11132;29247;36849;0.75
1700;1;0;84;32;51.88;11132;29247;36849;0.76
1800;1;0;84;32;51.88;11132;29247;36849;0.67
1900;1;0;84;32;51.88;11132;29247;36849;0.67
2000;1;0;84;32;51.88;11132;29247;36849;0.69
2100;1;0;84;32;51.88;11132;29247;36849;0.81
2200;1;0;84;32;51.88;11132;29247;36849;0.83
2300;1;0;84;32;51.88;11132;29247;36849;0.86
2400;1;0;84;32;51.88;11132;29247;36849;0.82
2500;1;0;84;32;51.88;11132;29247;36849;0.82
